GeneID,Symbol,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession
60495,HPSE2,98457076,99235874
60496,AASDHPPT,106077564,106098691
60506,NYX,41447459,41476413
60509,AGBL5,27051422,27070621
60526,LDAH,20682488,20823138
60528,ELAC2,12991611,13018063
60529,ALX4,44260727,44310165
60558,GUF1,44678394,44700680
60559,SPCS3,176319938,176332244
60560,NAA35,85941141,86026354
60561,RINT1,105532080,105567683
60592,SCOC,140257285,140382555
60598,KCNK15,44745604,44752312
60625,DHX35,38962337,39039722
60626,RIC8A,207510,215174
60672,MIIP,12019241,12032048
60673,ATG101,52069922,52077494
60674,GAS5,173863898,173868881
60675,PROK2,71771654,71785205
60676,PAPPA2,176463158,176845600
60677,CELF6,72284726,72320183
60678,EEFSEC,128153452,128426192
60678,EEFSEC,22552,277764
60680,CELF5,3224675,3297075
60681,FKBP10,41812709,41823216
60682,SMAP1,70667770,70862014
60684,TRAPPC11,183659266,183713593
60685,ZFAND3,37819530,38154623
60686,C14orf93,22986900,23010200
63027,SLC22A23,3268972,3456573
63035,BCORL1,129980284,130058082
63036,CELA2A,15456727,15472090
63826,SRR,2303370,2325266
63827,BCAN,156641947,156659531
63874,ABHD4,22598237,22612863
63875,MRPL17,6680384,6683400
63876,PKNOX2,125111996,125433388
63877,FAM204A,118305888,118342326
63891,RNF123,49688752,49721528
63892,THADA,43230835,43596045
63893,UBE2O,76389457,76453233
63894,VIPAS39,77426674,77457726
63895,PIEZO2,10670236,11149584
63897,HEATR6,60041362,60078930
63898,SH2D4A,19313442,19396217
63899,NSUN3,94062904,94131831
63901,FAM111A,59142745,59155038
63904,DUSP21,44844002,44844887
63905,MANBAL,37289647,37317259
63906,GPATCH3,26890487,26900470
63908,NAPB,23374518,23421518
63910,SLC17A9,62952646,62968596
63914,LINC01590,87397123,87399740
63915,BLOC1S5,8013566,8064413
63916,ELMO2,46366044,46407050
63917,GALNT11,152025654,152122346
63920,ZBED8,160393147,160400096
63922,CHTF18,788621,798073
63923,TNN,175067857,175148065
63924,CIDEC,9866709,9880253
63925,ZNF335,45948652,45972909
63926,ANKEF1,10034998,10056763
63928,CHP2,23754626,23758950
63929,XPNPEP3,40857080,40932818
63930,LINC01749,63009382,63085070
63931,MRPS14,175012957,175023454
63932,CXorf56,119538148,119565433
63933,MCUR1,13786548,13814993
63934,ZNF667,56438511,56478064
63935,PCIF1,45934673,45948022
63939,FAM217B,59933763,59948679
63940,GPSM3,32190765,32195522
63940,GPSM3,3629114,3633871
63940,GPSM3,3523364,3528121
63940,GPSM3,3495743,3500500
63940,GPSM3,3532781,3537538
63940,GPSM3,3413964,3418721
63940,GPSM3,3506970,3511727
63941,NECAB3,33657086,33674457
63943,FKBPL,32128706,32130289
63943,FKBPL,3567037,3568620
63943,FKBPL,3370070,3371653
63943,FKBPL,3470726,3472309
63946,DMRTC2,41844742,41852329
63947,DMRTC1,72872024,72943930
63948,DMRTB1,53459398,53467487
63950,DMRTA2,50417549,50423446
63951,DMRTA1,22446840,22452472
63967,CLSPN,35720217,35769984
63970,TP53AIP1,128934731,128944232
63971,KIF13A,17759182,17987622
63973,NEUROG2,112513515,112516171
63974,NEUROD6,31337460,31340923
63976,PRDM16,3068226,3438620
63977,PRDM15,41798224,41879481
63978,PRDM14,70051612,70071326
63979,FIGNL1,50437319,50450405
63982,ANO3,26189122,26667906
64002,PCGEM1,192749844,192776898
64005,MYO1G,44962660,44979104
64061,TSPYL2,53082359,53088545
64062,RBM26,79311826,79406220
64063,PRSS22,2852726,2858629
64063,PRSS22,32204,37627
64064,OXCT2,39769524,39771347
64065,PERP,138088504,138107522
64066,MMP27,102690942,102705784
64067,NPAS3,32934784,33804175
64072,CDH23,71396933,71815946
64073,C19orf33,38304160,38305005
64077,LHPP,124461771,124614140
64078,SLC28A3,84273122,84368633
64080,RBKS,27781363,27890395
64081,PBLD,68282659,68332957
64083,GOLPH3,32124710,32174318
64084,CLSTN2,139935184,140577396
64087,MCCC2,71587287,71658705
64087,MCCC2,1117262,1142081
64087,MCCC2,1585772,1610591
64089,SNX16,81799582,81842325
64090,GAL3ST2,241776824,241804286
64090,GAL3ST2,11154,16384
64091,POPDC2,119642051,119660589
64092,SAMSN1,14485227,14583401
64093,SMOC1,69879387,70032365
64094,SMOC2,168441150,168667993
64096,GFRA4,3659291,3663398
64097,EPB41L4A,112141828,112419315
64098,PARVG,44170227,44208468
64100,ELSPBP1,47994650,48025152
64101,LRRC4,128027070,128032106
64102,TNMD,100584792,100599884
64105,CENPK,65488918,65563193
64106,NPFFR1,70254956,70283693
64108,RTP4,187368379,187371583
64109,CRLF2,1190436,1212761
64110,MAGEF1,184710366,184712047
64111,NPVF,25224569,25228485
64112,MOAP1,93182195,93184903
64112,MOAP1,296757,299465
64114,TMBIM1,218274191,218292576
64115,VSIR,71747555,71773579
64116,SLC39A8,102251040,102345497
64118,DUS1L,82057871,82065820
64121,RRAGC,38838196,38859822
64122,FN3K,82735575,82751196
64123,ADGRL4,78889763,79006809
64127,NOD2,50693586,50733076
64129,TINAGL1,31576383,31587685
64130,LIN7B,49114338,49118463
64131,XYLT1,17102323,17470880
64131,XYLT1,103584,472141
64132,XYLT2,50346031,50361184
64135,IFIH1,162267078,162318707
64137,ABCG4,119149039,119162665
64145,RBSN,15070068,15099162
64146,PDF,69328620,69330594
64147,KIF9,47228025,47282846
64149,C17orf75,32328440,32350048
64150,DIO3OS,101552220,101560421
64151,NCAPG,17810812,17844864
64167,ERAP2,96875938,96919715
64168,NECAB1,90791692,90959401
64170,CARD9,136363955,136373680
64172,OSGEPL1,189746659,189763350
64174,DPEP2,67987389,68000643
64175,P3H1,42746334,42767083
64180,DPEP3,67975662,67980548
64184,EDDM3B,20768426,20770947
64207,IRF2BPL,77024542,77028698
64208,POPDC3,105157899,105179982
64210,MMS19,97458323,97498793
64211,LHX5,113462888,113472071
64215,DNAJC1,21756547,22003762
64216,TFB2M,246540560,246566262
64218,SEMA4A,156149671,156177750
64219,PJA1,69160737,69165521
64220,STRA6,74179465,74212266
64221,ROBO3,124865408,124881473
64222,TOR3A,179081976,179095995
64223,MLST8,2204627,2209453
64224,HERPUD2,35632658,35695810
64225,ATL2,38293956,38378583
64231,MS4A6A,60171606,60184665
64232,MS4A5,60429588,60447791
64236,PDLIM2,22578740,22598024
64240,ABCG5,43806153,43838839
64241,ABCG8,43831941,43880050
64282,TENT4B,50152917,50235309
64283,ARHGEF28,73626157,73941992
64284,RAB17,237574321,237591125
64285,RHBDF1,58058,76354
64288,ZSCAN31,28324736,28359156
64318,NOC3L,94314906,94362975
64319,FBRS,30658430,30670809
64320,RNF25,218663863,218672057
64321,SOX17,54457934,54460895
64324,NSD1,177131834,177300212
64326,COP1,175944825,176209086
64327,LMBR1,156669011,156893207
64328,XPO4,20777328,20902773
64332,NFKBIZ,101827989,101861024
64333,ARHGAP9,57472254,57488813
64342,HS1BP3,20552933,20651660
64343,AZI2,28322352,28349277
64344,HIF3A,46297045,46343432
64359,NXN,799312,979765
64359,NXN,3029,19004
64374,SIL1,138946719,139198375
64375,IKZF4,56007646,56038434
64376,IKZF5,122990805,123008849
64377,CHST8,33621954,33773508
64386,MMP25,3045962,3060728
64388,GREM2,240489572,240612371
64393,ZMAT3,179017222,179071867
64395,GMCL1,69829605,69881395
64396,GMCL2,178184502,178187431
64397,ZNF106,42412436,42491196
64398,MPP5,67241294,67336060
64399,HHIP,144645995,144740704
64400,AKTIP,53491039,53504410
64403,CDH24,23047060,23057618
64405,CDH22,46173732,46308497
64407,RGS18,192158461,192187171
64409,GALNT17,71132404,71713600
64410,KLHL25,85759325,85794957
64411,ARAP3,141653400,141682232
64412,GZF1,23361584,23375398
64417,TMEM267,43444251,43484658
64418,TMEM168,112762381,112790422
64419,MTMR14,9649432,9702393
64420,SUSD1,112040780,112175514
64421,DCLRE1C,14897563,14954431
64422,ATG3,112532506,112561962
64423,INF2,104689605,104719609
64425,POLR1E,37485934,37503696
64426,SUDS3,118373188,118418034
64427,TTC31,74483051,74494563
64428,CIAO3,729752,741037
64429,ZDHHC6,112424410,112447571
64430,PCNX4,60091910,60134813
64431,ACTR6,100200086,100224423
64432,MRPS25,15042250,15065336
64433,LINC00244,156540490,156541100
64434,NOM1,156949721,156973181
64446,DNAI2,74274209,74314883
64478,CSMD1,2935352,4995034
64493,LINC00235,526846,527406
64493,LINC00235,129514,130074
64499,TPSB2,1228335,1230183
64506,CPEB1,82543200,82648015
64506,CPEB1,332305,416474
64518,TEKT3,15303810,15343681
64577,ALDH8A1,134917389,134950121
64579,NDST4,114824121,115114132
64581,CLEC7A,10116776,10130268
64582,GPR135,59452772,59465635
64591,TSPY2,6246222,6249019
64593,RBMY3AP,9610720,9615152
64595,TTTY15,12662366,12692223
64596,PSMA6P1,13286560,13287545
64598,MOSPD3,100612101,100615379
64599,GIGYF1,100679505,100694279
64600,PLA2G2F,20139325,20150385
64601,VPS16,2840696,2866731
64641,EBF2,25841729,26045123
64645,MFSD14A,100038077,100083376
64648,SPANXD,141697400,141698738
64651,CSRNP1,39141850,39154601
64663,SPANXC,141241462,141242549
64682,ANAPC1,111766149,111884195
64689,GORASP1,39096598,39108362
64693,CTAGE1,22413600,22417914
64693,CTAGE1,24921,29235
64699,TMPRSS3,42371886,42396845
64708,COPS7B,231781670,231809252
64710,NUCKS1,205712818,205750243
64711,HS3ST6,1911462,1921427
64711,HS3ST6,41592,48452
64714,PDIA2,283136,287214
64717,TRG-CCC2-2,636735,636805
64718,UNKL,1363204,1414748
64725,RPS3AP2,1477982,1478589
64726,RPS20P2,1328625,1329808
64730,TJP1P1,1371112,1371882
64735,LINC00254,1878284,1884230
64735,LINC00254,8415,14361
64743,WDR13,48590052,48605193
64744,SMAP2,40373671,40423325
64745,METTL17,20989805,20997034
64746,ACBD3,226144678,226186721
64747,MFSD1,158801263,158829718
64748,PLPPR2,11355385,11365697
64750,SMURF2,64542281,64662267
64753,CCDC136,128790761,128822132
64754,SMYD3,245749339,246507341
64755,C16orf58,31489474,31508418
64756,ATPAF1,46635038,46668426
64757,MARC1,220786696,220814398
64759,TNS3,47275153,47582552
64760,FAM160B2,22089153,22104379
64761,PARP12,140023743,140063720
64762,GAREM1,32263520,32470517
64763,ZNF574,42068476,42081566
64764,CREB3L2,137874978,138002100
64766,S100PBP,32816766,32858878
64768,IPPK,92613183,92670264
64769,MEAF6,37489959,37514818
64770,CCDC14,123887382,123961411
64771,C6orf106,34587279,34696849
64772,ENGASE,79074811,79088602
64773,PCED1A,2835313,2841242
64776,C11orf1,111879223,111884082
64777,RMND5B,178130531,178148569
64778,FNDC3B,172039627,172400702
64779,MTHFSD,86530175,86555839
64780,MICAL1,109444061,109465967
64781,CERK,46684409,46738254
64782,AEN,88604600,88632280
64783,RBM15,110338928,110373004
64784,CRTC3,90529885,90645344
64785,GINS3,58392393,58406143
64786,TBC1D15,71839706,71926848
64787,EPS8L2,706119,727726
64788,LMF1,853631,981612
64789,EXO5,40508718,40516049
64792,IFT22,101313366,101321822
64793,CEP85,26234152,26278809
64794,DDX31,132592996,132670400
64795,RMND5A,86720290,86778040
64798,DEPTOR,119873654,120056201
64799,IQCH,67254771,67501803
64800,EFCAB6,43528548,43812976
64801,ARV1,230979048,231000732
64802,NMNAT1,9942922,9996883
64805,P2RY12,151336842,151384811
64806,IL25,23372808,23376402
64816,CYP3A43,99827625,99867137
64834,ELOVL1,43363396,43368073
64837,KLC2,66257293,66267860
64838,FNDC4,27491882,27495501
64839,FBXL17,107859032,108382097
64840,PORCN,48508958,48520813
64841,GNPNAT1,52775192,52791667
64843,ISL2,76336723,76342475
64844,MARCH7,159712456,159768582
64847,SPATA20,50547088,50555851
64848,YTHDC2,113513661,113595286
64849,SLC13A3,46557822,46684484
64850,ETNPPL,108742039,108763078
64852,TUT1,62575044,62591636
64853,AIDA,222668012,222712894
64854,USP46,52590959,52659334
64855,FAM129B,127505337,127579006
64856,VWA1,1435522,1442881
64857,PLEKHG2,39412581,39428414
64858,DCLRE1B,113904618,113914085
64859,NABP1,191678071,191688521
64860,ARMCX5,102599167,102604158
64863,METTL4,2537524,2571502
64864,RFX7,56090532,56247653
64866,CDCP1,45082273,45146421
64881,PCDH20,61409684,61415521
64895,PAPOLG,60756229,60802085
64897,C12orf43,121002421,121016501
64900,LPIN3,41340778,41360584
64901,RANBP17,170861881,171300014
64902,AGXT2,34998098,35048187
64919,BCL11B,99169286,99271712
64921,CASD1,94509857,94633464
64922,LRRC19,26993135,27005692
64924,SLC30A5,69093948,69131071
64925,CCDC71,49162534,49166351
64926,RASAL3,15451623,15464580
64927,TTC23,99136322,99251234
64928,MRPL14,44113453,44127490
64939,SMNP,20331407,20332376
64940,STAG3L4,67302637,67321525
64943,NT5DC2,52524368,52535076
64946,CENPH,69189547,69210356
64949,MRPS26,3046028,3048249
64951,MRPS24,43866557,43869545
64960,MRPS15,36455760,36464438
64963,MRPS11,88467452,88480766
64965,MRPS9,105037468,105099959
64968,MRPS6,34073522,34143033
64969,MRPS5,95085390,95122026
64975,MRPL41,137551856,137552554
64976,MRPL40,19431901,19436077
64978,MRPL38,75898642,75905099
64979,MRPL36,1798384,1801431
64981,MRPL34,17302806,17306842
64983,MRPL32,42932339,42937856
65003,MRPL11,66435074,66438859
65005,MRPL9,151759642,151763915
65008,MRPL1,77862650,77952789
65009,NDRG4,58463644,58515402
65010,SLC26A6,48625722,48635492
65012,SLC26A10,57619909,57626150
65018,PINK1,20633454,20651510
65055,REEP1,86213992,86338082
65056,GPBP1,57173841,57264678
65057,ACD,67657511,67660831
65059,RAPH1,203433681,203535335
65061,CDK15,201790323,201895549
65062,TMEM237,201620183,201643528
65065,NBEAL1,203013783,203225193
65072,CFLAR-AS1,201140288,201157791
65078,RTN4R,20241414,20268292
65080,MRPL44,223950845,223967713
65082,VPS33A,122229560,122266822
65083,NOL6,33460810,33473942
65084,TMEM135,87037843,87328833
65094,JMJD4,227731188,227735498
65095,KRI1,10553084,10566030
65108,MARCKSL1,32333828,32336238
65109,UPF3B,119805310,119853027
65110,UPF3A,114281583,114305816
65117,RSRC2,122504642,122527012
65121,PRAMEF1,12791396,12796627
65122,PRAMEF2,12857085,12861908
65122,PRAMEF2,38598,43421
65123,INTS3,153728066,153774807
65123,INTS3,44767,91508
65124,SOWAHC,109614333,109618986
65125,WNK1,752592,911451
65217,PCDH15,53802770,55629181
65220,NADK,1751231,1780508
65243,ZFP69B,40450067,40466764
65244,SPATS2,49366904,49527440
65249,ZSWIM4,13795423,13832253
65250,CPLANE1,37063927,37249498
65251,ZNF649,51889234,51905051
65258,MPPE1,11883470,11908796
65260,COA7,52686341,52698365
65263,PYCR3,143603223,143609613
65263,PYCR3,93263,99653
65264,UBE2Z,48908368,48929059
65265,C8orf33,145052437,145065863
65266,WNK4,42779700,42797065
65267,WNK3,54192822,54358694
65268,WNK2,93184155,93327580
65944,OR2B8P,28053127,28054264
65975,STK33,8335028,8594288
65977,PLEKHA3,178480453,178516323
65979,PHACTR4,28369553,28500368
65980,BRD9,863734,892823
65981,CAPRIN2,30709551,30754992
65982,ZSCAN18,58083833,58118432
65983,GRAMD2B,126360095,126494376
65985,AACS,125065366,125143332
65986,ZBTB10,80485618,80526264
65987,KCTD14,78015714,78046190
65988,ZNF747,30530366,30534969
65989,DLK2,43450351,43456631
65990,FAM173A,720580,722589
65991,FUNDC2,155026788,155056915
65992,DDRGK1,3190349,3204696
65993,MRPS34,1771888,1773150
65996,CENPBD1P1,58575398,58584394
65997,RASL11B,52862327,52866834
65998,C11orf95,63759891,63768641
65999,LRRC61,150322649,150338155
66000,TMEM108,133038287,133397774
66002,CYP4F12,15673017,15698818
66004,LYNX1,142771196,142777847
66005,CHID1,867858,915057
66008,TRAK2,201377206,201451595
66035,SLC2A11,23856702,23886111
66035,SLC2A11,93064,122473
66036,MTMR9,11284415,11328145
66036,MTMR9,2018698,2062359
66037,BOLL,197726878,197786311
78986,DUSP26,33591329,33600105
78987,CRELD1,9933787,9945412
78988,MRPL57,21176232,21179083
78989,COLEC11,3594831,3644643
78990,OTUB2,94015599,94048929
78990,OTUB2,1140939,1163491
78991,PCYOX1L,149358006,149375111
78992,YIPF2,10922184,10929011
78994,PRR14,30650701,30656439
78995,C17orf53,44141901,44162476
78996,CYREN,135092302,135170825
78997,GDAP1L1,44247098,44280916
78998,RHPN1-AS1,143366622,143368634
78999,LRFN4,66857086,66860474
79000,AUNIP,25831912,25859457
79001,VKORC1,31090841,31094998
79002,TRIR,12730639,12734774
79003,MIS12,5486373,5490813
79004,CUEDC2,102423244,102432665
79005,SCNM1,151166021,151170296
79006,METRN,715172,719654
79007,DBNDD1,90004864,90020130
79008,SLX1B,29454500,29458223
79009,DDX50,68898816,68956311
79012,CAMKV,49857980,49870221
79015,LINC01260,44656450,44671738
79016,DDA1,17309527,17323300
79017,GGCT,30496620,30504840
79018,GID4,18039296,18068404
79019,CENPM,41927746,41947163
79020,C7orf25,42909272,42914355
79022,TMEM106C,47963546,47968877
79023,NUP37,102073961,102120130
79024,SMIM2,44143150,44161256
79025,FNDC11,63553019,63556711
79026,AHNAK,62433541,62546859
79027,ZNF655,99558421,99576452
79029,SPATA5L1,45402320,45421418
79031,PDCL3,100562955,100577471
79033,ERI3,44221069,44355297
79034,C7orf26,6590020,6608725
79035,NABP2,56222011,56229857
79036,KXD1,18557761,18569386
79037,PVRIG,100218624,100221488
79038,ZFYVE21,103715743,103733667
79039,DDX54,113157172,113185478
79041,TMEM38A,16661126,16689019
79042,TSEN34,54189969,54194535
79042,TSEN34,165232,169507
79042,TSEN34,165064,169331
79042,TSEN34,165231,169498
79047,KCTD15,33795539,33815760
79048,SECISBP2,89318472,89367116
79050,NOC4L,132144420,132152472
79053,ALG8,78100941,78139652
79054,TRPM8,233917341,234019521
79055,PSMA2P3,202179343,202179985
79056,PRRG4,32829755,32858122
79057,PRRG3,151694605,151701590
79058,ASPSCR1,81977545,82017668
79064,TMEM223,62790314,62792013
79065,ATG9A,219219379,219229687
79066,METTL16,2416048,2511905
79068,FTO,53703962,54114466
79070,KDELC1,102784280,102799053
79071,ELOVL6,110045850,110199198
79072,FASTKD3,7859158,7869036
79073,TMEM109,60913898,60923442
79074,C2orf49,105337358,105359939
79075,DSCC1,119833940,119855929
79077,DCTPP1,30423697,30430051
79078,C1orf50,42767244,42775741
79080,CCDC86,60841955,60851087
79081,LBHD1,62662816,62671768
79083,MLPH,237486409,237555317
79084,WDR77,111439889,111449307
79085,SLC25A23,6436080,6459769
79086,SMIM7,16630740,16660156
79087,ALG12,49860162,49918468
79088,ZNF426,9523223,9538864
79089,TMUB2,44186950,44191928
79090,TRAPPC6A,45162927,45179265
79091,METTL22,8621639,8673564
79092,CARD14,80169991,80209330
79094,CHAC1,40942136,40956518
79095,C9orf16,128159424,128163927
79096,C11orf49,46936523,47164380
79097,TRIM48,55262181,55271118
79098,C1orf116,207018520,207032760
79100,LINC00626,168786940,168792887
79101,TAF1D,93730193,93741536
79102,RNF26,119334499,119337313
79104,MEG8,100889648,100999112
79109,MAPKAP1,125437393,125707233
79132,DHX58,42101403,42112732
79133,NDUFAF5,13785025,13821579
79134,TMEM185B,120217470,120223407
79135,APOO,23833347,23907939
79136,LY6G6E,31711975,31714064
79136,LY6G6E,3189259,3191348
79136,LY6G6E,2959737,2961826
79136,LY6G6E,3017025,3019114
79136,LY6G6E,3053852,3055941
79136,LY6G6E,2967795,2969884
79136,LY6G6E,3011271,3013360
79137,RETREG2,219178189,219185474
79139,DERL1,123013163,123042422
79140,CCDC28B,32200385,32205389
79142,PHF23,7235027,7239655
79143,MBOAT7,54173411,54189881
79143,MBOAT7,148219,164846
79143,MBOAT7,148183,164678
79143,MBOAT7,148189,164845
79144,PPDPF,63520740,63522170
79145,CHCHD7,56211637,56218797
79147,FKRP,46746014,46758574
79148,MMP28,35756248,35795706
79148,MMP28,388,30238
79149,ZSCAN5A,56221302,56368382
79150,MGC4859,10449819,10779943
79152,FA2H,74712954,74774830
79153,GDPD3,30104809,30113556
79154,DHRS11,36591795,36600803
79154,DHRS11,827290,836297
79155,TNIP2,2741659,2756375
79156,PLEKHF1,29665419,29675476
79157,MFSD11,76736564,76803804
79158,GNPTAB,101745496,101830866
79159,NOL12,37686336,37693477
79160,LINC01711,58634771,58635737
79161,TMEM243,87196161,87220586
79165,LENG1,54155638,54159742
79165,LENG1,130489,134593
79165,LENG1,130488,134592
79166,LILRP2,54707915,54713451
79166,LILRP2,162305,167841
79166,LILRP2,233731,239267
79166,LILRP2,155323,160859
79166,LILRP2,141972,147506
79166,LILRP2,155951,161487
79166,LILRP2,189163,194699
79166,LILRP2,194951,199965
79166,LILRP2,140461,145995
79166,LILRP2,155622,161158
79166,LILRP2,169423,174959
79166,LILRP2,155604,161140
79166,LILRP2,190118,195654
79166,LILRP2,155589,161125
79166,LILRP2,169440,174976
79166,LILRP2,9539,15075
79166,LILRP2,155625,161161
79166,LILRP2,2,294
79166,LILRP2,6756,12011
79166,LILRP2,25,4441
79166,LILRP2,185697,191233
79166,LILRP2,155072,160608
79166,LILRP2,200655,206192
79166,LILRP2,155461,160997
79166,LILRP2,690813,696068
79166,LILRP2,613909,619136
79166,LILRP2,612540,617842
79166,LILRP2,434257,439513
79167,LILRP1,54696415,54698497
79167,LILRP1,679308,681391
79167,LILRP1,602411,604493
79167,LILRP1,601044,603126
79167,LILRP1,422757,424839
79168,LILRA6,212162,217574
79168,LILRA6,213918,217757
79168,LILRA6,54236591,54242767
79168,LILRA6,211580,217729
79168,LILRA6,213800,217755
79169,C1orf35,228100726,228103461
79170,PRR15L,47951966,47957904
79171,RBM42,35629015,35637685
79172,CENPO,24793114,24822375
79173,C19orf57,13882347,13906164
79174,CRELD2,49918629,49927539
79175,ZNF343,2481816,2524521
79176,FBXL15,102419221,102423137
79177,ZNF576,43596391,43600434
79178,THTPA,23511759,23559580
79180,EFHD2,15409894,15430342
79183,TTPAL,44475869,44494602
79184,BRCC3,155071402,155126765
79187,FSD1,4304593,4323845
79188,TMEM43,14124939,14143679
79190,IRX6,55323759,55330759
79191,IRX3,54283299,54286771
79192,IRX1,3595854,3601402
79228,THOC6,3024018,3027754
79230,ZNF557,7069459,7087967
79231,ZNF33CP,37894592,37896935
79232,ZNF37CP,37883619,37884097
79258,MMEL1,2590638,2633041
79258,MMEL1,141831,184228
79269,DCAF10,37800553,37867668
79272,OR52X1P,6066712,6067891
79273,OR7E94P,79587753,79588082
79274,OR52L2P,6057218,6058329
79282,OR7E93P,125724433,125725603
79282,OR7E93P,58915,60085
79283,OR5P1P,7772892,7773813
79289,OR5H8,98311912,98312839
79290,OR13A1,45302594,45315607
79290,OR13A1,127421,140375
79291,OR5H7P,98238351,98239277
79294,OR4C7P,54634928,54636052
79295,OR5H6,98263259,98265293
79296,OR52E1,5069371,5070695
79297,OR5H5P,98197210,98198137
79299,OR5H4P,98222038,98222965
79300,OR51P1P,5015029,5016180
79301,OR9L1P,58077349,58078605
79302,OR52J1P,5104223,5105092
79306,OR4K7P,14570743,14571715
79308,OR4P1P,55683239,55684374
79309,OR5H3P,98207422,98208340
79310,OR5H2,98282887,98283831
79312,OR1AA1P,131424301,131425241
79313,OR2AD1P,29026679,29027606
79313,OR2AD1P,513166,514093
79313,OR2AD1P,292304,293231
79313,OR2AD1P,292282,293209
79313,OR2AD1P,292237,293164
79313,OR2AD1P,292426,293353
79313,OR2AD1P,292257,293184
79313,OR2AD1P,336038,336965
79314,OR4K6P,19847266,19848328
79315,OR7E91P,71024074,71029930
79316,OR8B9P,124481077,124481562
79317,OR4K5,19920606,19921577
79318,OR4K4P,19905711,19906643
79321,OR6M3P,123861680,123862522
79322,OR4N1P,19796253,19797417
79323,OR6E1P,22702143,22703068
79324,OR51G1,4923373,4924338
79331,OR2AF1P,131619046,131619935
79334,OR11H2,19712903,19714331
79336,OR5AH1P,56760864,56761232
79339,OR51B4,5301013,5301945
79342,OR51B3P,5314744,5315692
79345,OR51B2,5323297,5324351
79346,OR4C5,48365296,48366487
79363,CPLANE2,16231686,16237444
79364,ZXDC,126437347,126475937
79365,BHLHE41,26120025,26125069
79366,HMGN5,81113700,81201941
79368,FCRL2,157745732,157777471
79369,B3GNT4,122203680,122208951
79370,BCL2L14,12049843,12099694
79370,BCL2L14,39941,68692
79400,NOX5,68930499,69057160
79411,GLB1L,219236597,219245440
79412,KREMEN2,2964215,2968382
79413,ZBED2,111592899,111595334
79414,LRFN3,35937119,35945194
79415,CYBC1,82442585,82450830
79424,CYP3AP2,99748248,99752490
79441,HAUS3,2231835,2242163
79442,LRRC2,46515384,46580098
79443,FYCO1,45917898,45995823
79444,BIRC7,63235882,63240506
79446,WDR25,100376415,100530302
79447,PAGR1,29816206,29822494
79465,ULBP3,150061045,150069146
79469,DLEU2L,63548979,63550635
79470,OR51J1,5402396,5403770
79473,OR52N1,5787853,5788815
79476,OR5AL2P,56393729,56394648
79482,OR5AL1,56412596,56413780
79483,OR5BD1P,57945496,57946522
79488,OR10D5P,124054792,124055725
79490,OR10G6,123994162,123995160
79491,OR5BM1P,98052892,98053817
79492,OR7E97P,125747128,125748098
79492,OR7E97P,81610,82580
79494,OR8K2P,56335142,56336068
79494,OR8K2P,145891,146817
79498,OR8I1P,56296539,56297469
79498,OR8I1P,107288,108218
79499,OR7L1P,131596121,131597203
79501,OR4F5,69090,70007
79504,OR4G4P,52452,53395
79508,OR5M7P,56500298,56501269
79512,OR5M6P,56512233,56513169
79513,OR10R1P,158514784,158515924
79514,OR10T1P,158445067,158446013
79515,OR10G5P,124009511,124010415
79518,OR5M4P,56448668,56449592
79521,OR52S1P,5076111,5077065
79523,OR5M2P,56479490,56480425
79525,OR51A5P,4972930,4973895
79526,OR4C10P,48432216,48433146
79528,OR4R1P,48486186,48487031
79529,OR52J2P,5036915,5038073
79530,OR4C9P,48464052,48464976
79532,OR51A3P,4937337,4938293
79533,OR52E3P,5092675,5093649
79534,OR4V1P,55673536,55674675
79537,OR7E90P,158874592,158875765
79538,OR13I1P,104629754,104631018
79540,OR7E89P,158853503,158854671
79541,OR2A4,131699643,131701400
79544,OR4K1,19920262,19936735
79546,OR6M2P,123840957,123841902
79547,OR2AL1P,105194099,105195035
79549,OR6J1,22633565,22634843
79550,OR4C4P,48345347,48352446
79567,RIPOR1,67518422,67546787
79568,MAIP1,199955316,199964124
79570,NKAIN1,31179269,31239886
79571,GCC1,127580627,127585599
79572,ATP13A3,194402673,194487005
79573,TTC13,230906240,230978871
79574,EPS8L3,109750079,109764021
79575,ABHD8,17292130,17303472
79576,NKAP,119925049,119943771
79577,CDC73,193121957,193254814
79581,SLC52A2,144358546,144361285
79581,SLC52A2,89159,91888
79582,SPAG16,213284368,214410500
79583,TMEM231,75538116,75556285
79585,CORO7,4354541,4416960
79585,CORO7,56866,119283
79586,CHPF,219538946,219543764
79587,CARS2,110641409,110713600
79587,CARS2,110711226,110714071
79589,RNF128,106693837,106797015
79590,MRPL24,156737301,156741266
79591,ARMH3,101845598,102056236
79594,MUL1,20499447,20508482
79595,SAP130,127941216,128028119
79596,RNF219,78614285,78659178
79598,CEP97,101723930,101770561
79600,TCTN1,110614026,110649129
79602,ADIPOR2,1691026,1788678
79602,ADIPOR2,33224,130822
79603,CERS4,8209328,8262432
79605,PGBD5,230321645,230425927
79605,PGBD5,230314481,230316301
79607,FAM118B,126211413,126264539
79608,RIC3,8092964,8169093
79609,VCPKMT,50100455,50116578
79611,ACSS3,81078017,81256758
79612,NAA16,41311204,41377030
79613,TANGO6,68843605,69085181
79616,CCNJL,160251651,160339591
79618,HMBOX1,28890369,29064944
79621,RNASEH2B,50909677,50970461
79622,SNRNP25,53828,57668
79623,GALNT14,30888517,31138725
